subject_id,acquisition,brainmask_voxels,brainmask_volume,facemask_voxels,facemask_volume,brainmask_overlap_facemask_voxels,brainmask_overlap_facemask_volume,pc_overlap_bw_facemask_and_brainmask,leftover_dil_eyemask_voxels,leftover_dil_eyemask_volume,leftover_eyemask_voxels,leftover_eyemask_volume
sub-ON48984,fspgr,1065752.0,1422641.125,1468048.0,1959649.125,0.0,0.0,0.0,97065.0,129568.880518,31715.0,42335.311859
sub-ON49080,mprage,1404154.0,1404154.0,2130287.0,2130287.0,0.0,0.0,0.0,153393.0,153393.0,60973.0,60973.0
sub-ON50015,fspgr,1039034.0,1386976.0,1646238.0,2197509.25,0.0,0.0,0.0,97794.0,130541.998675,31854.0,42520.858394
sub-ON50636,fspgr,1064900.0,1420325.125,1446464.0,1929241.5,0.0,0.0,0.0,118186.0,157632.215797,39924.0,53249.188428
sub-ON51005,mprage,1499841.0,1499841.0,1811736.0,1811736.0,0.0,0.0,0.0,146377.0,146377.0,54854.0,54854.0
sub-ON52083,mprage,1491441.0,1491441.0,2019112.0,2019112.0,0.0,0.0,0.0,132671.0,132671.0,48764.0,48764.0
sub-ON52662,mprage,1612436.0,1612436.0,2224409.0,2224409.0,0.0,0.0,0.0,131923.0,131923.0,46114.0,46114.0
sub-ON52733,mprage,1577837.0,1577837.0,2227460.0,2227460.0,0.0,0.0,0.0,136247.0,136247.0,48321.0,48321.0
sub-ON52992,mprage,1787774.0,1787774.0,2530111.0,2530111.0,0.0,0.0,0.0,134396.0,134396.0,47141.0,47141.0
sub-ON54268,mprage,1690253.0,1690253.0,2164769.0,2164769.0,0.0,0.0,0.0,162200.0,162200.0,58603.0,58603.0
sub-ON54886,mprage,1222866.0,1222866.0,1812475.0,1812475.0,0.0,0.0,0.0,79429.0,79429.0,19632.0,19632.0
sub-ON55820,fspgr,1102048.0,1471091.5,1587795.0,2119495.25,0.0,0.0,0.0,98746.0,131812.792208,31499.0,42046.980554
sub-ON56044,fspgr,1026841.0,1370699.875,1396196.0,1863748.0,0.0,0.0,0.0,86738.0,115784.443531,24044.0,32095.749963
sub-ON56250,mprage,1400463.0,1400463.0,2226984.0,2226984.0,0.0,0.0,0.0,154098.0,154098.0,58052.0,58052.0
sub-ON58053,mprage,1549872.0,1549872.0,2230251.0,2230251.0,0.0,0.0,0.0,135402.0,135402.0,49980.0,49980.0
sub-ON59735,fspgr,1099401.0,1467558.125,1622443.0,2165759.75,0.0,0.0,0.0,195255.0,260641.143693,80160.0,107003.631551
sub-ON61087,mprage,1536053.0,1536053.0,2208804.0,2208804.0,0.0,0.0,0.0,160171.0,160171.0,63238.0,63238.0
sub-ON61373,mprage,1449047.0,1449047.0,2040459.0,2040459.0,0.0,0.0,0.0,141846.0,141846.0,52912.0,52912.0
sub-ON62003,mprage,1421768.0,1421768.0,2281224.0,2281224.0,0.0,0.0,0.0,168437.0,168437.0,67381.0,67381.0
sub-ON62592,fspgr,1032281.0,1377961.625,1435428.0,1916105.75,0.0,0.0,0.0,97123.0,129646.302813,30734.0,41025.807179
sub-ON62623,fspgr,963864.0,1286633.75,1714025.0,2288010.25,0.0,0.0,0.0,96975.0,129449.565489,31513.0,42065.936141
sub-ON62955,fspgr,987586.0,1318299.5,1535193.0,2049291.75,0.0,0.0,0.0,88353.0,117940.267695,25385.0,33885.8182
sub-ON63335,fspgr,928090.0,1238880.0,1574689.0,2102000.75,0.0,0.0,0.0,113156.0,151048.227929,41843.0,55854.846418
sub-ON63704,mprage,1455201.0,1455201.0,1801902.0,1801902.0,0.0,0.0,0.0,98286.0,98286.0,29029.0,29029.0
sub-ON63734,mprage,1424199.0,1424199.0,1856351.0,1856351.0,0.0,0.0,0.0,103935.0,103935.0,31598.0,31598.0
sub-ON65697,fspgr,1233078.0,1645999.5,1598145.0,2133324.75,0.0,0.0,0.0,101923.0,136054.530171,30638.0,40897.919953
sub-ON65733,mprage,1529651.0,1529651.0,2460234.0,2460234.0,0.0,0.0,0.0,122053.0,122053.0,41347.0,41347.0
sub-ON66199,mprage,1532632.0,1532632.0,2111955.0,2111955.0,0.0,0.0,0.0,145996.0,145996.0,54509.0,54509.0
sub-ON66557,fspgr,1092647.0,1458542.375,1581662.0,2111322.0,0.0,0.0,0.0,89294.0,119196.385675,28417.0,37933.16115
sub-ON67121,fspgr,1095439.0,1462269.375,1528768.0,2040715.25,0.0,0.0,0.0,99442.0,132742.703701,30964.0,41333.089413
sub-ON67435,mprage,1483841.0,1483841.0,2153811.0,2153811.0,0.0,0.0,0.0,133769.0,133769.0,47441.0,47441.0
